brand,model,price,depre,age,mileage,eng_cap,power,owners,reg_date,maturity_date,years_left,COE_extended
Mercedes-Benz,E-Class E250 Avantgarde,65800,22870.0,8.4,61000.0,1991.0,155.0,2,2014-09-03,2024-09-02,1.6,False
Jaguar,XJ 2.0A TSS Premium Luxury SWB Sunroof,153800,21310.0,5.3,82368.0,1999.0,177.0,4,2017-10-10,2027-10-10,4.7,False
Mercedes-Benz,S-Class S300L ,103700,13570.0,12.2,143000.0,2997.0,170.0,3,2010-10-22,2030-08-01,7.6,True
Mercedes-Benz,CLA-Class CLA200,43800,24740.0,8.7,80782.0,1595.0,115.0,4,2014-05-09,2024-05-08,1.3,False
Lexus,ES250 Luxury,173800,22350.0,3.5,42200.0,2487.0,152.0,1,2019-06-28,2029-06-27,6.5,False
Mercedes-Benz,C-Class C180 Avantgarde,84800,18790.0,6.5,,1595.0,115.0,1,2016-07-20,2026-07-20,3.5,False
Toyota,Camry 2.0A ,78800,10310.0,12.3,168500.0,1998.0,108.0,5,2010-10-05,2030-08-01,7.6,True
Mazda,6 2.0A,59800,14770.0,6.6,101500.0,1998.0,121.0,1,2016-05-27,2026-05-27,3.4,False
Audi,A3 Sedan 1.0A TFSI S-tronic,93800,14730.0,4.4,72503.0,999.0,85.0,1,2018-08-13,2028-08-12,5.6,False
Mercedes-Benz,CLA-Class CLA180 Sport,102800,16930.0,4.6,54000.0,1595.0,90.0,1,2018-06-13,2028-06-12,5.4,False
Lexus,ES250 Executive Sunroof,160800,20090.0,3.2,60000.0,2487.0,152.0,2,2019-10-31,2029-10-30,6.8,False
Mazda,6 2.0A,89800,13470.0,4.0,95840.0,1998.0,121.0,1,2019-01-02,2029-01-01,6.0,False
Mazda,6 2.0A,89800,13470.0,4.0,95840.0,1998.0,121.0,1,2019-01-02,2029-01-01,6.0,False
Toyota,Camry 2.0A,73333,16560.0,6.5,95550.0,1998.0,123.0,2,2016-06-27,2026-06-27,3.5,False
Rolls-Royce,Silver Shadow ,228000,36170.0,46.3,,6753.0,,,1976-10-04,2029-04-01,6.2,True
Mercedes-Benz,E-Class E180 Avantgarde,176888,18580.0,2.0,53693.0,1497.0,115.0,2,2020-12-28,2030-12-28,8.0,False
Audi,A3 Sedan 1.0A TFSI S-tronic,93800,14210.0,4.2,65000.0,999.0,85.0,1,2018-10-26,2028-10-25,5.8,False
Mercedes-Benz,C-Class C180 Avantgarde Night Edition,172800,18020.0,1.5,28858.0,1497.0,115.0,1,2021-06-24,2031-06-24,8.4,False
